MAKE,MODEL,COLOR,YEAR,ODOMETER,STATE,SELLER,UNITS_SOLD,TOTAL_REVENUE,AVG_PRICE
Nissan,Altima,Ã¢â‚¬â€,2012,35395,nj,nissan-infiniti lt,1,11100,11100
Honda,Accord Crosstour,gray,2010,54695,tx,auto/magic car sales,1,13500,13500
Ford,Focus,black,2014,6407,oh,ford motor credit company llc pd,1,12400,12400
Toyota,Camry,silver,2014,12736,nc,toyota motor sales usa inc/program,1,16700,16700
Nissan,Altima,blue,2012,25911,pa,nissan-infiniti lt,1,10800,10800
Ford,Focus,silver,2008,117814,wa,repo remarketing/obee fcu,1,3800,3800
Honda,Pilot,white,2008,106410,nj,wells fargo dealer services,1,9600,9600
Volvo,S40,silver,2006,199868,pa,primus automotive financial services,1,1400,1400
Volkswagen,Passat,black,2006,120464,tn,dt credit corporation,1,4000,4000
GMC,Envoy XL,white,2003,127542,tx,dt inventory,1,3600,3600
Jeep,Liberty,black,2005,116970,nc,santander consumer,1,5900,5900
Mercedes-Benz,C-Class,blue,2005,78221,nv,unique autos,1,7300,7300
Jeep,Grand Cherokee,silver,2002,78901,ga,purple heart,1,2500,2500
BMW,1 Series,black,2013,6735,ca,specialized sales and leasing,1,34000,34000
Lexus,IS 300,black,2005,181616,md,autonation honda dulles,1,3200,3200
Lexus,RX 330,blue,2004,157953,sc,hendrick lexus charleston,1,7500,7500
Hyundai,Santa Fe Sport,white,2014,26220,nv,enterprise veh exchange/rental,1,17800,17800
Hyundai,Santa Fe,beige,2004,129246,wi,dt credit corporation,1,2400,2400
Dodge,Grand Caravan,red,2014,38790,oh,enterprise vehicle exchange/sharonville,1,15400,15400
Nissan,Altima,silver,2014,9624,ca,nissan-infiniti lt,1,14750,14750
BMW,3 Series,gray,2012,23564,oh,financial services remarketing (lease),1,24000,24000
Chrysler,300,blue,2006,114643,nj,wells fargo dealer services,1,2000,2000
Chrysler,200,blue,2013,50754,ne,enterprise vehicle exchange/davenport,1,11200,11200
Nissan,Altima,black,2014,12023,ga,santander consumer,1,14000,14000
Honda,Accord,gray,2012,47201,nv,ahfc/honda lease trust/hvt  inc.,1,12600,12600
Nissan,Quest,purple,2011,79053,tn,wholesale inc # 2,1,17250,17250
Ford,Shelby GT500,white,2008,7194,mo,cable dahmer of kansas city,1,31750,31750
FIAT,500L,black,2014,18981,nv,remarketing by ge/flagship credit acceptance,1,12500,12500
Toyota,Camry,black,2003,149684,ca,dch toyota of torrance,1,3200,3200
Ford,Econoline Cargo,white,2008,63920,on,bell canada,1,7700,7700
Audi,allroad,Ã¢â‚¬â€,2014,16337,fl,vw credit xu ready,1,35400,35400
Lincoln,MKZ,white,2008,52344,mn,select lane,1,10200,10200
Dodge,Caravan,black,2006,72021,nj,meridian remarketing,1,3500,3500
Jeep,Liberty,blue,2005,145070,pa,credit acceptance corp/vrs/southfield,1,600,600
Ford,Mustang,blue,2003,172103,tn,titlemax of gallatin,1,625,625
Hyundai,Elantra,blue,2013,36982,or,enterprise vehicle exchange / tra / rental / tulsa,1,9800,9800
Nissan,Maxima,black,2012,52680,tn,chrysler capital,1,15000,15000
Nissan,Altima,white,2012,46043,ny,m and t bank,1,9700,9700
Chevrolet,Impala,silver,2013,45552,nj,the hertz corporation,1,9600,9600
Honda,Pilot,gray,2012,24322,pa,sports car leasing,1,24700,24700
Hyundai,Sonata,black,2012,45060,fl,hyundai motor finance,1,13100,13100
Kia,Optima,silver,2012,23289,fl,kia motors finance,1,14900,14900
Chevrolet,Equinox,black,2014,21686,mo,lease plan usa,1,18700,18700
Nissan,Altima,red,2004,218257,ga,enterprise veh exchange/rental,1,1200,1200
Dodge,Stratus,silver,2004,135542,il,gateway financial services,1,1650,1650
Jeep,Grand Cherokee,white,2014,30256,on,chrysler canada inc,1,37500,37500
Nissan,Altima,Ã¢â‚¬â€,2013,22514,nj,nissan-infiniti lt,1,13600,13600
Toyota,Camry,white,2013,44527,oh,byers car rentals llc,1,13400,13400
Infiniti,M,black,2012,35042,nj,nissan infiniti lt,1,24750,24750
Volkswagen,Passat,burgundy,2012,75803,nc,ge fleet services for itself/servicer,1,9800,9800
Nissan,Altima,gray,2012,33676,pa,nissan-infiniti lt,1,11500,11500
Toyota,RAV4,gold,2012,33812,ca,wheels exchange llc,1,20000,20000
Ford,Taurus,white,2011,46711,nv,chapman chry jeep,1,13300,13300
Toyota,Sienna,gray,2011,33815,fl,world omni financial corporation,1,18600,18600
Cadillac,Escalade,white,2008,76589,md,remarketing by ge/flagship credit acceptance,1,25500,25500
Mercedes-Benz,E-Class,black,2007,59506,fl,toyota financial services,1,13900,13900
Kia,Sorento,blue,2005,119342,ga,nalley honda,1,4700,4700
Nissan,Xterra,yellow,2002,207875,mn,santander consumer,1,2100,2100
Toyota,Camry,black,2013,21558,fl,world omni financial corporation,1,15700,15700
Acura,ILX,gray,2014,9051,ca,american honda motor company,1,21250,21250
Volvo,V60,silver,2015,10906,ca,volvo na rep/world omni,1,30000,30000
BMW,M5,gray,2014,7766,ca,fratelli investment group,1,77250,77250
Infiniti,G Coupe,white,2013,15131,ca,nissan infiniti lt,1,26000,26000
Infiniti,G Sedan,black,2013,28053,ca,nissan infiniti lt,1,25000,25000
Infiniti,G Coupe,black,2013,12735,ca,nissan infiniti lt,1,22500,22500
Hyundai,Santa Fe,gray,2013,15758,ca,hyundai motor america/co car,1,21400,21400
Infiniti,G Sedan,black,2013,23470,ca,nissan infiniti lt,1,24500,24500
Infiniti,G Sedan,blue,2013,10993,ca,nissan infiniti lt,1,24250,24250
Infiniti,G Coupe,gray,2013,18548,ca,nissan infiniti lt,1,25000,25000
Jeep,Wrangler,black,2013,41173,ca,avis corporation,1,27000,27000
Nissan,370Z,black,2013,10506,ca,nissan north america inc.,1,21500,21500
Kia,Rio,red,2013,4668,ca,kia motors finance,1,14200,14200
Kia,Optima,white,2013,21258,ca,kia motors america  inc,1,16400,16400
Nissan,Sentra,black,2013,35011,ca,nissan motor acceptance corporation,1,12000,12000
Porsche,Panamera,white,2013,33876,ca,high bid trading co inc,1,58000,58000
Nissan,Altima,gray,2013,35591,ca,merchants leasing,1,12700,12700
Land Rover,Range Rover Evoque,white,2013,9214,ca,high bid trading co inc,1,39000,39000
Nissan,Altima,beige,2013,13675,ca,nissan-infiniti lt,1,14750,14750
Nissan,Sentra,black,2013,29277,ca,nissan-infiniti lt,1,12250,12250
Nissan,Murano,gray,2013,14805,ca,nissan motor acceptance corporation,1,25250,25250
BMW,7 Series,white,2012,32509,ca,financial services remarketing (lease),1,40000,40000
BMW,6 Series,white,2012,46534,ca,financial services remarketing (lease),1,41500,41500
Acura,TL,silver,2012,21443,ca,ahfc/honda lease trust/hvt  inc.,1,20900,20900
Acura,TSX,red,2012,37284,ca,ahfc/honda lease trust/hvt  inc. eot,1,18400,18400
BMW,6 Series,white,2012,22845,ca,financial services remarketing (lease),1,52500,52500
BMW,3 Series,white,2012,25355,ca,gm financial,1,14750,14750
Ford,Edge,gray,2012,20035,ca,ford motor credit company llc pd,1,20800,20800
Chevrolet,Malibu,white,2012,58781,ca,the hertz corporation/gm,1,10000,10000
Dodge,Journey,gray,2012,70925,ca,remktgedge / cars / carfinance capital llc,1,11200,11200
Lincoln,Navigator,black,2012,12897,ca,ford motor credit company llc pd,1,34000,34000
Infiniti,G Sedan,black,2012,25896,ca,nissan infiniti lt,1,25250,25250
Infiniti,M,Ã¢â‚¬â€,2012,42871,ca,nissan infiniti lt,1,24000,24000
Ram,1500,gray,2012,21916,ca,walters auto sales/service inc,1,22250,22250
Porsche,Cayenne,black,2012,49086,ca,elad motors,1,38750,38750
Infiniti,G Sedan,white,2012,18752,ca,nissan infiniti lt,1,20000,20000
Porsche,911,black,2012,16480,ca,mckenna audi/mckenna bmw,1,72500,72500
BMW,M3,Ã¢â‚¬â€,2011,37097,ca,financial services remarketing (lease),1,38500,38500
Chevrolet,Camaro,black,2011,32841,ca,the car exchange,1,18800,18800
Dodge,Challenger,black,2014,15108,ca,certified preowned ford&lincoln/mercury dlr unit,1,19500,19500
Land Rover,Range Rover Sport,black,2011,3794,ca,land rover north america llc,1,46500,46500
Jaguar,XJ,silver,2011,50637,ca,fiserv/usb dealer services northstar exchange,1,32250,32250
Mazda,CX-7,gray,2011,55702,ca,barber honda,1,10700,10700
Nissan,Sentra,gray,2011,66588,ca,santander consumer,1,7100,7100
Chevrolet,Camaro,yellow,2010,42836,ca,santander consumer,1,20900,20900
Jeep,Patriot,black,2010,96810,ca,cig financial,1,5800,5800
Toyota,RAV4,gray,2010,76648,ca,corona auto wholesale inc,1,13900,13900
Toyota,Corolla,black,2009,100806,ca,champion chrysler jeep dodge,1,5700,5700
Toyota,Corolla,white,2009,83334,ca,san diego sports cars,1,9100,9100
Lexus,IS 250,white,2009,91966,ca,high bid trading co inc,1,13000,13000
Acura,MDX,silver,2008,85284,ca,prestige auto wholesale inc,1,17500,17500
Honda,Fit,red,2008,149757,ca,honda of escondido,1,2200,2200
Chevrolet,Colorado,black,2008,57280,ca,rancho ford,1,13500,13500
GMC,Yukon,gray,2007,105992,ca,aaero sweet company,1,16000,16000
Cadillac,Escalade ESV,off-white,2007,107589,ca,clear view systems,1,21750,21750
Buick,Rendezvous,white,2007,85303,ca,santander consumer,1,6000,6000
Nissan,Maxima,silver,2007,88513,ca,cardinale gmc truck,1,8100,8100
Ford,Explorer,blue,2006,82093,ca,foreman financial,1,6400,6400
Hyundai,Sonata,black,2011,70093,ca,exeter finance corp,1,10300,10300
Mercedes-Benz,C-Class,,2011,34961,ca,mercedes-benz financial services,1,21500,21500
Nissan,Sentra,black,2011,37876,ca,nissan-infiniti lt,1,10500,10500
Pontiac,G6,white,2008,108163,ca,lobel financial corp,1,4500,4500
Audi,A8,silver,2007,97059,ca,lease remarketing services inc,1,12500,12500
Jeep,Compass,silver,2008,104749,ca,mckenna motors cerritos inc,1,4900,4900
Chevrolet,Tahoe,gray,2007,148072,ca,high line auto inc,1,11250,11250
GMC,Sierra 1500,white,2006,225462,ca,walters auto sales/service inc,1,4700,4700
